COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,COMPENSATION_AMOUNT,CLIENT_ID,CREATED_DATE
137,2012-01-01,2012-06-30,5846,41900,12507,2012-08-06
138,2012-01-01,2012-06-30,6123,20000,13107,2012-08-06
139,2012-01-01,2012-06-30,5749,160,12241,2012-08-06
140,2012-01-01,2012-06-30,7922,15600,12889,2012-08-06
141,2012-01-01,2012-06-30,5732,73000,12205,2012-08-06
162,2012-01-01,2012-06-30,5737,2000,12226,2012-08-06
164,2012-01-01,2012-06-30,6140,6000,13143,2012-08-06
165,2012-01-01,2012-06-30,7941,6000,13143,2012-08-06
166,2012-01-01,2012-06-30,5836,5000,12476,2012-08-06
167,2012-01-01,2012-06-30,5599,3500,11799,2012-08-06
168,2012-01-01,2012-06-30,5574,1199,11746,2012-08-06
172,2012-01-01,2012-06-30,6036,5000,12920,2012-08-06
173,2012-01-01,2012-06-30,5804,5000,12430,2012-08-06
182,2012-01-01,2012-06-30,5975,15305,12795,2012-08-07
184,2012-01-01,2012-06-30,5975,800,12797,2012-08-07
185,2012-01-01,2012-06-30,5522,1000,11615,2012-08-07
186,2012-01-01,2012-06-30,5522,10000,11616,2012-08-07
187,2012-01-01,2012-06-30,5534,25000,11674,2012-08-07
188,2012-01-01,2012-06-30,5536,1500,11678,2012-08-07
189,2012-01-01,2012-06-30,6972,4000,12570,2012-08-07
190,2012-01-01,2012-06-30,6972,65000,12567,2012-08-07
191,2012-01-01,2012-06-30,6972,3000,12566,2012-08-07
192,2012-01-01,2012-06-30,6972,500,12569,2012-08-07
193,2012-01-01,2012-06-30,6972,3000,12568,2012-08-07
194,2012-01-01,2012-06-30,6972,4000,14214,2012-08-07
195,2012-01-01,2012-06-30,6972,2000,14213,2012-08-07
196,2012-01-01,2012-06-30,6972,8000,12565,2012-08-07
197,2012-01-01,2012-06-30,6972,16000,12564,2012-08-07
202,2012-01-01,2012-06-30,7007,200,14243,2012-08-07
203,2012-01-01,2012-06-30,7981,2000,12528,2012-08-07
204,2012-01-01,2012-06-30,7981,2000,12527,2012-08-07
205,2012-01-01,2012-06-30,7981,1600,12529,2012-08-07
206,2012-01-01,2012-06-30,7981,2000,12530,2012-08-07
207,2012-01-01,2012-06-30,8001,2000,12527,2012-08-07
208,2012-01-01,2012-06-30,8001,2000,12528,2012-08-07
209,2012-01-01,2012-06-30,8001,1600,12529,2012-08-07
210,2012-01-01,2012-06-30,8001,2000,12530,2012-08-07
211,2012-01-01,2012-06-30,8001,6000,12526,2012-08-07
214,2012-01-01,2012-06-30,7264,9998,13053,2012-08-07
215,2012-01-01,2012-06-30,7264,2650,14441,2012-08-07
216,2012-01-01,2012-06-30,7264,2651,13054,2012-08-07
217,2012-01-01,2012-06-30,7264,4976,13055,2012-08-07
218,2012-01-01,2012-06-30,7264,140,13061,2012-08-07
219,2012-01-01,2012-06-30,7264,977,13062,2012-08-07
222,2012-01-01,2012-06-30,7264,4185,13059,2012-08-07
225,2012-01-01,2012-06-30,6045,361,12932,2012-08-07
227,2012-01-01,2012-06-30,5887,28000,12597,2012-08-07
228,2012-01-01,2012-06-30,7838,4000,12086,2012-08-07
229,2012-01-01,2012-06-30,7838,3000,12089,2012-08-07
230,2012-01-01,2012-06-30,7838,3000,12085,2012-08-07
231,2012-01-01,2012-06-30,7838,500,12088,2012-08-07
232,2012-01-01,2012-06-30,7838,1500,12087,2012-08-07
233,2012-01-01,2012-06-30,5607,5000,11853,2012-08-07
235,2012-01-01,2012-06-30,5898,500,12613,2012-08-07
236,2012-01-01,2012-06-30,5796,47000,12421,2012-08-07
237,2012-01-01,2012-06-30,7067,918,12839,2012-08-07
238,2012-01-01,2012-06-30,5672,9180,12090,2012-08-07
239,2012-01-01,2012-06-30,6967,9000,12723,2012-08-07
240,2012-01-01,2012-06-30,6967,30000,14209,2012-08-07
241,2012-01-01,2012-06-30,5747,1250,12239,2012-08-07
261,2012-01-01,2012-06-30,5826,4000,12454,2012-08-08
262,2012-01-01,2012-06-30,5826,3000,12456,2012-08-08
263,2012-01-01,2012-06-30,5826,3000,12455,2012-08-08
264,2012-01-01,2012-06-30,5826,500,12457,2012-08-08
265,2012-01-01,2012-06-30,5826,1500,12458,2012-08-08
266,2012-01-01,2012-06-30,8041,500,12457,2012-08-08
267,2012-01-01,2012-06-30,8041,4000,12454,2012-08-08
268,2012-01-01,2012-06-30,8041,3000,12455,2012-08-08
269,2012-01-01,2012-06-30,8041,3000,12456,2012-08-08
270,2012-01-01,2012-06-30,8041,1500,12458,2012-08-08
271,2012-01-01,2012-06-30,8042,1500,12087,2012-08-08
272,2012-01-01,2012-06-30,8042,3000,12089,2012-08-08
273,2012-01-01,2012-06-30,8042,4000,12086,2012-08-08
274,2012-01-01,2012-06-30,8042,500,12088,2012-08-08
275,2012-01-01,2012-06-30,8042,3000,12085,2012-08-08
276,2012-01-01,2012-06-30,5647,101,12039,2012-08-08
277,2012-01-01,2012-06-30,7728,6700,11910,2012-08-08
279,2012-01-01,2012-06-30,6126,950,13110,2012-08-08
281,2012-01-01,2012-06-30,5882,2000,12592,2012-08-08
282,2012-01-01,2012-06-30,8061,50000,12141,2012-08-08
283,2012-01-01,2012-06-30,8061,37500,12139,2012-08-08
284,2012-01-01,2012-06-30,8061,36000,12142,2012-08-08
285,2012-01-01,2012-06-30,8061,37500,12146,2012-08-08
286,2012-01-01,2012-06-30,8061,40002,12143,2012-08-08
287,2012-01-01,2012-06-30,8061,30000,12144,2012-08-08
288,2012-01-01,2012-06-30,8061,15000,12140,2012-08-08
289,2012-01-01,2012-06-30,8061,27500,12138,2012-08-08
290,2012-01-01,2012-06-30,6924,14000,11846,2012-08-08
291,2012-01-01,2012-06-30,6924,24000,11847,2012-08-08
292,2012-01-01,2012-06-30,6924,24000,11848,2012-08-08
293,2012-01-01,2012-06-30,6924,24000,11849,2012-08-08
295,2012-01-01,2012-06-30,6924,3000,14163,2012-08-08
296,2012-01-01,2012-06-30,6924,9000,11852,2012-08-08
297,2012-01-01,2012-06-30,8081,20000,12783,2012-08-08
298,2012-01-01,2012-06-30,8081,6500,13163,2012-08-08
299,2012-01-01,2012-06-30,8081,52500,12784,2012-08-08
300,2012-01-01,2012-06-30,8081,10000,14211,2012-08-08
301,2012-01-01,2012-06-30,8081,20000,12790,2012-08-08
302,2012-01-01,2012-06-30,8081,30000,12780,2012-08-08
303,2012-01-01,2012-06-30,8081,24000,12791,2012-08-08
304,2012-01-01,2012-06-30,8081,30000,12787,2012-08-08
305,2012-01-01,2012-06-30,8081,13000,14327,2012-08-08
306,2012-01-01,2012-06-30,5852,518,12525,2012-08-09
307,2012-01-01,2012-06-30,7041,216,11690,2012-08-09
308,2012-01-01,2012-06-30,5558,640,11723,2012-08-09
316,2012-01-01,2012-06-30,5537,5000,11685,2012-08-09
317,2012-01-01,2012-06-30,5537,3000,11683,2012-08-09
318,2012-01-01,2012-06-30,5537,2000,11680,2012-08-09
319,2012-01-01,2012-06-30,5537,2500,11684,2012-08-09
320,2012-01-01,2012-06-30,5537,5000,11686,2012-08-09
321,2012-01-01,2012-06-30,5537,5000,11687,2012-08-09
323,2012-01-01,2012-06-30,5947,25000,12734,2012-08-09
324,2012-01-01,2012-06-30,5947,20000,12739,2012-08-09
327,2012-01-01,2012-06-30,5947,5000,12730,2012-08-09
328,2012-01-01,2012-06-30,5947,25000,12732,2012-08-09
329,2012-01-01,2012-06-30,5947,25000,12735,2012-08-09
330,2012-01-01,2012-06-30,5947,20000,12738,2012-08-09
331,2012-01-01,2012-06-30,5997,4250,12831,2012-08-09
332,2012-01-01,2012-06-30,5526,15000,11660,2012-08-09
333,2012-01-01,2012-06-30,5526,24000,11659,2012-08-09
334,2012-01-01,2012-06-30,5526,12000,11661,2012-08-09
335,2012-01-01,2012-06-30,5708,808,12161,2012-08-09
336,2012-01-01,2012-06-30,5764,6000,12275,2012-08-09
348,2012-01-01,2012-06-30,5899,1500,12614,2012-08-09
349,2012-01-01,2012-06-30,5845,5000,12502,2012-08-09
350,2012-01-01,2012-06-30,5845,7000,12503,2012-08-09
351,2012-01-01,2012-06-30,5845,2000,12500,2012-08-09
353,2012-01-01,2012-06-30,6114,10000,13090,2012-08-09
354,2012-01-01,2012-06-30,5862,1298,12556,2012-08-09
355,2012-01-01,2012-06-30,6042,5000,12928,2012-08-09
356,2012-01-01,2012-06-30,8123,12000,12485,2012-08-09
357,2012-01-01,2012-06-30,8123,5000,12484,2012-08-09
358,2012-01-01,2012-06-30,8123,5000,12482,2012-08-09
359,2012-01-01,2012-06-30,8123,5000,12483,2012-08-09
360,2012-01-01,2012-06-30,8123,5000,14162,2012-08-09
362,2012-01-01,2012-06-30,7763,12300,12756,2012-08-09
363,2012-01-01,2012-06-30,7763,6700,12753,2012-08-09
364,2012-01-01,2012-06-30,7763,2800,12755,2012-08-09
366,2012-01-01,2012-06-30,8124,12300,12756,2012-08-09
367,2012-01-01,2012-06-30,8124,6700,12753,2012-08-09
368,2012-01-01,2012-06-30,7012,5000,14244,2012-08-09
369,2012-01-01,2012-06-30,5715,4716,12175,2012-08-09
371,2012-01-01,2012-06-30,5505,14000,11539,2012-08-09
372,2012-01-01,2012-06-30,5505,25000,11540,2012-08-09
373,2012-01-01,2012-06-30,5505,750,11538,2012-08-09
382,2012-01-01,2012-06-30,7747,4000,12488,2012-08-10
384,2012-01-01,2012-06-30,5789,70000,12399,2012-08-10
385,2012-01-01,2012-06-30,5588,150,11778,2012-08-10
386,2012-01-01,2012-06-30,5762,30000,12269,2012-08-10
387,2012-01-01,2012-06-30,5762,12000,12273,2012-08-10
388,2012-01-01,2012-06-30,5762,3000,12271,2012-08-10
389,2012-01-01,2012-06-30,8142,3692,14922,2012-08-10
392,2012-01-01,2012-06-30,8143,4000,14202,2012-08-10
393,2012-01-01,2012-06-30,8143,18000,12945,2012-08-10
394,2012-01-01,2012-06-30,8143,3000,14755,2012-08-10
395,2012-01-01,2012-06-30,8143,2000,12946,2012-08-10
397,2012-01-01,2012-06-30,8144,30000,12133,2012-08-10
398,2012-01-01,2012-06-30,8145,1200,14923,2012-08-10
400,2012-01-01,2012-06-30,8145,270,12899,2012-08-10
401,2012-01-01,2012-06-30,8146,477,14924,2012-08-10
402,2012-01-01,2012-06-30,5710,3365,12163,2012-08-10
403,2012-01-01,2012-06-30,5533,10000,11673,2012-08-10
405,2012-01-01,2012-06-30,6922,11061,12760,2012-08-10
406,2012-01-01,2012-06-30,7003,4200,12064,2012-08-10
407,2012-01-01,2012-06-30,7003,800,14242,2012-08-10
408,2012-01-01,2012-06-30,7003,2000,12066,2012-08-10
409,2012-01-01,2012-06-30,5691,5000,12124,2012-08-10
410,2012-01-01,2012-06-30,5691,2000,12122,2012-08-10
415,2012-01-01,2012-06-30,7541,252,12669,2012-08-10
419,2012-01-01,2012-06-30,5821,2000,12449,2012-08-10
420,2012-01-01,2012-06-30,7142,8370,12507,2012-08-10
421,2012-01-01,2012-06-30,7142,50000,12969,2012-08-10
422,2012-01-01,2012-06-30,7736,560,14759,2012-08-10
441,2012-01-01,2012-06-30,5778,5000,12348,2012-08-13
442,2012-01-01,2012-06-30,5778,5000,12349,2012-08-13
444,2012-01-01,2012-06-30,5875,40000,12579,2012-08-13
445,2012-01-01,2012-06-30,7641,45000,12077,2012-08-13
447,2012-01-01,2012-06-30,7122,7500,13074,2012-08-13
448,2012-01-01,2012-06-30,7122,6000,14341,2012-08-13
449,2012-01-01,2012-06-30,6120,3200,13097,2012-08-13
450,2012-01-01,2012-06-30,5854,3000,12532,2012-08-13
451,2012-01-01,2012-06-30,5854,4000,12535,2012-08-13
452,2012-01-01,2012-06-30,8221,3000,12532,2012-08-13
453,2012-01-01,2012-06-30,8221,4000,12535,2012-08-13
458,2012-01-01,2012-06-30,5506,879,11542,2012-08-13
459,2012-01-01,2012-06-30,6006,5000,12842,2012-08-13
460,2012-01-01,2012-06-30,5884,184480,12594,2012-08-13
461,2012-01-01,2012-06-30,5578,2074,11751,2012-08-13
462,2012-01-01,2012-06-30,5834,1094,12474,2012-08-13
464,2012-01-01,2012-06-30,5693,25000,12126,2012-08-13
465,2012-01-01,2012-06-30,5991,125,12825,2012-08-13
466,2012-01-01,2012-06-30,6113,20000,13088,2012-08-13
481,2012-01-01,2012-06-30,8261,30000,14981,2012-08-14
484,2012-01-01,2012-06-30,5920,3000,12650,2012-08-14
486,2012-01-01,2012-06-30,5809,1000,12436,2012-08-14
487,2012-01-01,2012-06-30,5809,1000,12435,2012-08-14
488,2012-01-01,2012-06-30,7837,1500,11857,2012-08-14
490,2012-01-01,2012-06-30,5914,25000,12643,2012-08-14
491,2012-01-01,2012-06-30,7111,821,14329,2012-08-14
492,2012-01-01,2012-06-30,5712,5000,12165,2012-08-14
493,2012-01-01,2012-06-30,5712,1000,12169,2012-08-14
494,2012-01-01,2012-06-30,5712,2500,12170,2012-08-14
496,2012-01-01,2012-06-30,7005,1500,11807,2012-08-14
497,2012-01-01,2012-06-30,5859,12000,12548,2012-08-14
501,2012-01-01,2012-06-30,5858,30000,12547,2012-08-14
502,2012-01-01,2012-06-30,7066,12000,12522,2012-08-14
503,2012-01-01,2012-06-30,7066,15000,12523,2012-08-14
504,2012-01-01,2012-06-30,7066,25000,12521,2012-08-14
505,2012-01-01,2012-06-30,5668,288,12082,2012-08-14
506,2012-01-01,2012-06-30,6039,2000,12925,2012-08-14
509,2012-01-01,2012-06-30,6082,5000,13004,2012-08-14
510,2012-01-01,2012-06-30,6082,5000,13005,2012-08-14
521,2012-01-01,2012-06-30,5689,1000,12120,2012-08-14
522,2012-01-01,2012-06-30,7802,1838,11906,2012-08-14
524,2012-01-01,2012-06-30,5908,1500,12637,2012-08-14
525,2012-01-01,2012-06-30,5519,49500,11606,2012-08-14
527,2012-01-01,2012-06-30,5751,200,12243,2012-08-14
528,2012-01-01,2012-06-30,5802,10,12428,2012-08-14
529,2012-01-01,2012-06-30,7013,1250,14261,2012-08-14
530,2012-01-01,2012-06-30,6978,185,12610,2012-08-14
532,2012-01-01,2012-06-30,6978,296,12611,2012-08-14
536,2012-01-01,2012-06-30,7441,400,14581,2012-08-14
541,2012-01-01,2012-06-30,6083,48,13006,2012-08-15
581,2012-01-01,2012-06-30,7421,159,14561,2012-08-21
585,2012-01-01,2012-06-30,7764,12300,12174,2012-08-21
586,2012-01-01,2012-06-30,7764,2800,12173,2012-08-21
588,2012-01-01,2012-06-30,8421,12300,12174,2012-08-21
589,2012-01-01,2012-06-30,5869,100,12563,2012-08-21
593,2012-01-01,2012-06-30,7834,3500,12884,2012-08-21
594,2012-01-01,2012-06-30,7834,1000,12882,2012-08-21
595,2012-01-01,2012-06-30,8423,3500,12884,2012-08-21
596,2012-01-01,2012-06-30,8423,1000,12882,2012-08-21
597,2012-01-01,2012-06-30,5807,1250,12433,2012-08-21
598,2012-01-01,2012-06-30,5863,4410,12557,2012-08-21
599,2012-01-01,2012-06-30,6060,200,12962,2012-08-21
600,2012-01-01,2012-06-30,5561,361,11726,2012-08-21
601,2012-01-01,2012-06-30,7000,1200,13156,2012-08-21
602,2012-01-01,2012-06-30,5722,25000,12187,2012-08-21
603,2012-01-01,2012-06-30,6109,5800,13079,2012-08-21
606,2012-01-01,2012-06-30,5623,2500,11899,2012-08-21
608,2012-01-01,2012-06-30,8441,1000,14210,2012-08-21
609,2012-01-01,2012-06-30,8441,1000,15101,2012-08-21
610,2012-01-01,2012-06-30,7092,5000,14326,2012-08-21
611,2012-01-01,2012-06-30,5621,950,11890,2012-08-21
612,2012-01-01,2012-06-30,6094,25000,13048,2012-08-21
613,2012-01-01,2012-06-30,5572,15000,11744,2012-08-21
615,2012-01-01,2012-06-30,6032,1000,12915,2012-08-21
621,2012-01-01,2012-06-30,7823,2000,12411,2012-08-21
622,2012-01-01,2012-06-30,7823,4000,12515,2012-08-21
623,2012-01-01,2012-06-30,7823,2000,14382,2012-08-21
624,2012-01-01,2012-06-30,7823,2000,12970,2012-08-21
625,2012-01-01,2012-06-30,7823,4000,14749,2012-08-21
628,2012-01-01,2012-06-30,5563,1000,11730,2012-08-21
630,2012-01-01,2012-06-30,6001,1000,12837,2012-08-21
631,2012-01-01,2012-06-30,5927,9000,12658,2012-08-21
632,2012-01-01,2012-06-30,5927,2000,12659,2012-08-21
633,2012-01-01,2012-06-30,5927,800,12657,2012-08-21
634,2012-01-01,2012-06-30,5927,15000,12660,2012-08-21
635,2012-01-01,2012-06-30,5927,10000,12661,2012-08-21
636,2012-01-01,2012-06-30,6009,1000,12845,2012-08-21
637,2012-01-01,2012-06-30,6101,1000,13068,2012-08-21
638,2012-01-01,2012-06-30,6078,1000,12989,2012-08-21
641,2012-01-01,2012-06-30,5756,3750,12248,2012-08-22
642,2012-01-01,2012-06-30,5705,1000,12157,2012-08-22
643,2012-01-01,2012-06-30,5705,33000,12158,2012-08-22
645,2012-01-01,2012-06-30,5550,2000,11715,2012-08-22
647,2012-01-01,2012-06-30,6075,88,12985,2012-08-22
648,2012-01-01,2012-06-30,5568,38000,11738,2012-08-22
652,2012-01-01,2012-06-30,5917,12000,12647,2012-08-22
653,2012-01-01,2012-06-30,5512,8000,11573,2012-08-22
654,2012-01-01,2012-06-30,5664,5000,12078,2012-08-22
655,2012-01-01,2012-06-30,7061,50000,13049,2012-08-22
657,2012-01-01,2012-06-30,5815,7800,12443,2012-08-22
658,2012-01-01,2012-06-30,5595,1200,11785,2012-08-22
659,2012-01-01,2012-06-30,5820,433,12448,2012-08-22
662,2012-01-01,2012-06-30,5528,375,11663,2012-08-22
663,2012-01-01,2012-06-30,8225,5000,12602,2012-08-22
664,2012-01-01,2012-06-30,8225,13500,12603,2012-08-22
671,2012-01-01,2012-06-30,5576,2500,11748,2012-08-22
672,2012-01-01,2012-06-30,8482,500,11784,2012-08-22
673,2012-01-01,2012-06-30,6107,19000,13075,2012-08-22
676,2012-01-01,2012-06-30,6088,600,13038,2012-08-22
678,2012-01-01,2012-06-30,7009,160,14243,2012-08-22
679,2012-01-01,2012-06-30,8483,3000,11764,2012-08-22
680,2012-01-01,2012-06-30,8483,4000,11768,2012-08-22
681,2012-01-01,2012-06-30,6063,13750,12965,2012-08-22
682,2012-01-01,2012-06-30,5979,15000,12803,2012-08-22
683,2012-01-01,2012-06-30,7661,2600,12839,2012-08-22
686,2012-01-01,2012-06-30,5865,5000,12559,2012-08-22
687,2012-01-01,2012-06-30,5960,10,12762,2012-08-22
688,2012-01-01,2012-06-30,5720,10,12184,2012-08-22
689,2012-01-01,2012-06-30,5627,1800,11903,2012-08-22
691,2012-01-01,2012-06-30,5824,24000,12452,2012-08-22
692,2012-01-01,2012-06-30,6028,5000,12911,2012-08-22
701,2012-01-01,2012-06-30,5742,15000,12231,2012-08-23
702,2012-01-01,2012-06-30,5677,7500,12095,2012-08-23
703,2012-01-01,2012-06-30,7008,160,14243,2012-08-23
706,2012-01-01,2012-06-30,7771,50000,11553,2012-08-23
707,2012-01-01,2012-06-30,7771,37500,11547,2012-08-23
708,2012-01-01,2012-06-30,7771,36000,11549,2012-08-23
709,2012-01-01,2012-06-30,7771,37500,11554,2012-08-23
710,2012-01-01,2012-06-30,7771,40002,11550,2012-08-23
711,2012-01-01,2012-06-30,7771,24000,11555,2012-08-23
712,2012-01-01,2012-06-30,7771,30000,11556,2012-08-23
713,2012-01-01,2012-06-30,7771,30000,11551,2012-08-23
714,2012-01-01,2012-06-30,7771,15000,11548,2012-08-23
715,2012-01-01,2012-06-30,7771,25000,11557,2012-08-23
716,2012-01-01,2012-06-30,7771,27500,11546,2012-08-23
717,2012-01-01,2012-06-30,7771,25000,11558,2012-08-23
718,2012-01-01,2012-06-30,5944,100,12720,2012-08-23
719,2012-01-01,2012-06-30,5784,5000,12388,2012-08-23
720,2012-01-01,2012-06-30,5784,5000,12391,2012-08-23
721,2012-01-01,2012-06-30,5784,2000,12383,2012-08-23
722,2012-01-01,2012-06-30,5784,1000,12390,2012-08-23
723,2012-01-01,2012-06-30,5784,5000,12384,2012-08-23
727,2012-01-01,2012-06-30,7744,2800,11632,2012-08-23
728,2012-01-01,2012-06-30,7744,1100,11642,2012-08-23
730,2012-01-01,2012-06-30,7744,7600,11618,2012-08-23
731,2012-01-01,2012-06-30,7744,2215,11622,2012-08-23
732,2012-01-01,2012-06-30,7744,320,14267,2012-08-23
734,2012-01-01,2012-06-30,7744,940,11634,2012-08-23
735,2012-01-01,2012-06-30,7744,1540,11639,2012-08-23
737,2012-01-01,2012-06-30,7744,1200,11631,2012-08-23
738,2012-01-01,2012-06-30,7744,1260,11627,2012-08-23
739,2012-01-01,2012-06-30,7744,14547,11621,2012-08-23
740,2012-01-01,2012-06-30,7744,1800,11633,2012-08-23
741,2012-01-01,2012-06-30,7744,8600,14765,2012-08-23
742,2012-01-01,2012-06-30,7744,250,11644,2012-08-23
743,2012-01-01,2012-06-30,7744,1421,11624,2012-08-23
745,2012-01-01,2012-06-30,7744,5795,11623,2012-08-23
746,2012-01-01,2012-06-30,7744,750,11629,2012-08-23
747,2012-01-01,2012-06-30,7744,600,11641,2012-08-23
750,2012-01-01,2012-06-30,7744,2984,11626,2012-08-23
751,2012-01-01,2012-06-30,7744,788,11628,2012-08-23
752,2012-01-01,2012-06-30,7744,3200,11630,2012-08-23
753,2012-01-01,2012-06-30,7744,17500,11620,2012-08-23
754,2012-01-01,2012-06-30,7744,2177,11635,2012-08-23
756,2012-01-01,2012-06-30,7744,1500,11637,2012-08-23
757,2012-01-01,2012-06-30,7744,750,11640,2012-08-23
758,2012-01-01,2012-06-30,7744,1200,11636,2012-08-23
759,2012-01-01,2012-06-30,8501,1260,11627,2012-08-23
760,2012-01-01,2012-06-30,8501,7600,11618,2012-08-23
761,2012-01-01,2012-06-30,8501,1540,11639,2012-08-23
762,2012-01-01,2012-06-30,8501,320,14267,2012-08-23
763,2012-01-01,2012-06-30,8501,17500,11620,2012-08-23
764,2012-01-01,2012-06-30,8501,2800,11632,2012-08-23
765,2012-01-01,2012-06-30,8501,1421,11624,2012-08-23
767,2012-01-01,2012-06-30,8501,3200,11630,2012-08-23
770,2012-01-01,2012-06-30,8501,2984,11626,2012-08-23
771,2012-01-01,2012-06-30,8501,8600,14765,2012-08-23
772,2012-01-01,2012-06-30,8501,5795,11623,2012-08-23
773,2012-01-01,2012-06-30,8501,940,11634,2012-08-23
776,2012-01-01,2012-06-30,8501,600,11641,2012-08-23
779,2012-01-01,2012-06-30,8501,2177,11635,2012-08-23
780,2012-01-01,2012-06-30,8501,250,11644,2012-08-23
781,2012-01-01,2012-06-30,8501,750,11629,2012-08-23
782,2012-01-01,2012-06-30,8501,1100,11642,2012-08-23
784,2012-01-01,2012-06-30,8501,14547,11621,2012-08-23
786,2012-01-01,2012-06-30,8501,788,11628,2012-08-23
787,2012-01-01,2012-06-30,8501,2215,11622,2012-08-23
788,2012-01-01,2012-06-30,8501,1800,11633,2012-08-23
789,2012-01-01,2012-06-30,8501,1200,11631,2012-08-23
790,2012-01-01,2012-06-30,6084,20000,13010,2012-08-23
791,2012-01-01,2012-06-30,6084,5000,13007,2012-08-23
792,2012-01-01,2012-06-30,6084,5000,13009,2012-08-23
793,2012-01-01,2012-06-30,6084,75000,13008,2012-08-23
794,2012-01-01,2012-06-30,6980,1664,12681,2012-08-23
795,2012-01-01,2012-06-30,6980,1440,12680,2012-08-23
796,2012-01-01,2012-06-30,6980,2304,12677,2012-08-23
797,2012-01-01,2012-06-30,6980,259,12673,2012-08-23
798,2012-01-01,2012-06-30,6980,1600,12678,2012-08-23
799,2012-01-01,2012-06-30,6980,7392,12679,2012-08-23
800,2012-01-01,2012-06-30,6980,1518,12683,2012-08-23
801,2012-01-01,2012-06-30,6980,6528,12669,2012-08-23
802,2012-01-01,2012-06-30,6980,736,12670,2012-08-23
803,2012-01-01,2012-06-30,6980,6528,12676,2012-08-23
804,2012-01-01,2012-06-30,6980,6528,12675,2012-08-23
805,2012-01-01,2012-06-30,6057,1000,12953,2012-08-23
806,2012-01-01,2012-06-30,5988,4200,12822,2012-08-23
807,2012-01-01,2012-06-30,7782,22000,12056,2012-08-23
