EXPENDITURE_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,ACTION,AMOUNT,EXPENDITURE_DATE,PURPOSE,RECIPIENT,CLIENT_ID,CREATED_DATE
201,2012-01-01,2012-06-30,7641,"lobbyist registration",350,2012-02-02,"lobby registration fee","Board of Ethics",12077,2012-08-13
221,2012-01-01,2012-06-30,5809,Administrative,566,2012-05-07,Airfare,"City of Chicago",12436,2012-08-14
222,2012-01-01,2012-06-30,5809,Administrative,566,2012-05-07,airfare,"City of Chicago",12435,2012-08-14
241,2012-01-01,2012-06-30,6109,Administrative,342,2012-05-01,Airfare,"American Airlines",13079,2012-08-21
242,2012-01-01,2012-06-30,5886,"chic inv conf",1064,2012-04-26,air,Delta,12596,2012-08-21
243,2012-01-01,2012-06-30,5886,"muni finance",852,2012-05-22,air,Delta,12596,2012-08-21
244,2012-01-01,2012-06-30,5886,"muni finance",416,2012-05-22,hotel,"Wyndham Blake",12596,2012-08-21
245,2012-01-01,2012-06-30,5886,"muni finance",775,2012-06-10,air,Delta,12596,2012-08-21
246,2012-01-01,2012-06-30,5886,"muni finance",730,2012-06-10,hotel,"Wyndham Blake",12596,2012-08-21
261,2012-01-01,2012-06-30,5705,n/a,395,2012-01-01,"Lobby Registration and Delivery Reimbursement",Alcatel-Lucent,12158,2012-08-22
262,2012-01-01,2012-06-30,5705,n/a,1893,2012-02-11,"Travel Reimbursement",Alcatel-Lucent,12158,2012-08-22
263,2012-01-01,2012-06-30,6075,Administrative,264,2012-02-24,"Travel related expenses to discuss business","American Airlines",12985,2012-08-22
264,2012-01-01,2012-06-30,5752,"appointment of receiver",350,2012-01-27,"lobbyist registration fee","Collateral Trustee, Inc 1033 W Van Buren Chicago, IL  60607  Receivership Services",12244,2012-08-22
265,2012-01-01,2012-06-30,5664,"application for zoning amendment",1025,2012-03-01,"zoning application fee","City of Chicago",12078,2012-08-22
266,2012-01-01,2012-06-30,5664,"application for zoning amendment",1500,2012-03-01,"Zoning Consultant","Paul Woznicki,LLC  221 N LaSalle St. Ste.3800  Chicago, IL  60602",12078,2012-08-22
267,2012-01-01,2012-06-30,5664,"application for zoning amendment",350,2012-03-01,"Reimbursement of lobbyist reg. fee","Edward G Shenoo  4801 W Peterson Ave  Ste 305  Chicago, IL  60646",12078,2012-08-22
268,2012-01-01,2012-06-30,5815,"General Education of Wal-Mart business in Chicago",1051,2012-02-15,Airfare,"American Airlines",12443,2012-08-22
269,2012-01-01,2012-06-30,5815,"General Education of Wal-Mart business in Chicago",417,2012-02-15,lodging,Hyatt,12443,2012-08-22
270,2012-01-01,2012-06-30,5815,"General Education of Wal-Mart business in Chicago",1147,2012-04-17,airfare,"American Airlines",12443,2012-08-22
271,2012-01-01,2012-06-30,5820,"General relationship management meeting with specific focus on public finance and gaming opportunities with the City of Chicago",618,2012-02-17,"employee travel expenses","United Airlines",12448,2012-08-22
281,2012-01-01,2012-06-30,7561,n/a,355,2012-02-02,"Search of Property Boundaries","Chicago Title and Deed Inc  910 W Van Buren St, Ste. 140  Chicago, IL  60607",12181,2012-08-27
301,2012-01-01,2012-06-30,5745,n/a,977,2012-01-02,travel,"Airlines and taxicab fares, various",12237,2012-08-27
302,2012-01-01,2012-06-30,5745,n/a,394,2012-02-02,"lobbyist registration and compliance charges","Board of Ethics",12237,2012-08-27
303,2012-01-01,2012-06-30,5745,n/a,607,2012-02-02,travel,"airlines and taxicab fares, various",12237,2012-08-27
304,2012-01-01,2012-06-30,5745,n/a,1330,2012-06-02,travel,"airlines and taxicab fares, various",12237,2012-08-27
305,2012-01-01,2012-06-30,5745,n/a,707,2012-04-03,travel,"airlines, taxicab fares, various",12234,2012-08-27
306,2012-01-01,2012-06-30,5745,n/a,350,2012-02-02,"lobyist registration fee","Board of Ethics",12234,2012-08-27
307,2012-01-01,2012-06-30,8604,n/a,707,2012-04-03,travel,"airlines, taxicab fares, various",12234,2012-08-27
308,2012-01-01,2012-06-30,8604,n/a,350,2012-02-02,"lobyist registration fee","Board of Ethics",12234,2012-08-27
309,2012-01-01,2012-06-30,8604,n/a,394,2012-02-02,"lobbyist registration and compliance charges","Board of Ethics",12237,2012-08-27
310,2012-01-01,2012-06-30,8604,n/a,977,2012-01-02,travel,"Airlines and taxicab fares, various",12237,2012-08-27
311,2012-01-01,2012-06-30,8604,n/a,607,2012-02-02,travel,"airlines and taxicab fares, various",12237,2012-08-27
312,2012-01-01,2012-06-30,8604,n/a,1330,2012-06-02,travel,"airlines and taxicab fares, various",12237,2012-08-27
313,2012-01-01,2012-06-30,5732,gener,1051,2012-02-15,airfare,"American Airlines",12205,2012-08-27
314,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",253,2012-02-15,lodging,"Hotel Felix",12205,2012-08-27
315,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1051,2012-02-22,airfare,"American Airlines",12205,2012-08-27
316,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",277,2012-02-22,Lodging,"Dana Hotel",12205,2012-08-27
317,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1060,2012-02-29,Airfare,"American Airlines",12205,2012-08-27
318,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1060,2012-03-03,Airfare,"American Airlines",12205,2012-08-27
319,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1060,2012-03-13,Airfare,"American Airlines",12205,2012-08-27
320,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",283,2012-03-13,Lodging,"Holiday Inn",12205,2012-08-27
321,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1060,2012-04-10,Airfare,"American Airlines",12205,2012-08-27
322,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",283,2012-04-10,Lodging,"The Affinia Hotel",12205,2012-08-27
323,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",531,2012-04-17,airfare,"American Airlines",12205,2012-08-27
324,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",428,2012-04-17,Lodging,"The Renaissance and the Affinia Hotel",12205,2012-08-27
325,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1076,2012-04-24,airfare,"American Airlines",12205,2012-08-27
326,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",371,2012-04-24,Lodging,"Holiday Inn",12205,2012-08-27
327,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",459,2012-05-01,Airfare,"American Airlines",12205,2012-08-27
328,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",555,2012-05-01,lodging,"Affinia hotel",12205,2012-08-27
329,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",394,2012-05-07,airfare,"American Airlines",12205,2012-08-27
330,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",485,2012-05-07,lodging,"Affinia Hotel",12205,2012-08-27
331,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",394,2012-05-15,Airfare,"American Airlines",12205,2012-08-27
332,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",485,2012-05-15,Lodging,"Affinia Hotel",12205,2012-08-27
333,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",1076,2012-06-05,Airfare,"American Airlines",12205,2012-08-27
334,2012-01-01,2012-06-30,5732,"General Education of Wal-Mart business in Chicago",324,2012-06-05,lodging,"Affinia Hotel",12205,2012-08-27
335,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",3500,2012-01-05,"Reimbursed expenses for community outreach and education","Serafing and Associates, Inc  409 W Huron St., Ste. 600 Chicago, IL  60654  communications firm",12205,2012-08-27
336,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33750,2012-01-05,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
337,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",1057,2012-02-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
338,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",5235,2012-02-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
339,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33750,2012-02-02,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
340,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33750,2012-03-02,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
341,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",10630,2012-03-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
342,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33750,2012-04-04,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
343,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",3500,2012-04-04,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
344,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33500,2012-04-24,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
345,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",3500,2012-05-08,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
346,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",3500,2012-06-01,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
347,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",33750,2012-06-05,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
348,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",1508,2012-06-05,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
349,2012-01-01,2012-06-30,5732,"Community and Aldermanic Outreach and education",849,2012-06-05,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-08-27
350,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2011-12-13,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
351,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-02-15,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
352,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-03-13,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
353,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-04-03,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
354,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-05-08,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
355,2012-01-01,2012-06-30,5732,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-06-01,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-08-27
361,2012-01-01,2012-06-30,7065,"Admin- special use permit application - 8515 Cottage Grove",525,2012-04-05,"special use permit filing fee","City of Chicago",13099,2012-08-28
362,2012-01-01,2012-06-30,7065,"Admin- expert report for special use - 8515 S Cottage Grove",1300,2012-06-15,"urban planner","Kareem Mussawwir",13099,2012-08-28
363,2012-01-01,2012-06-30,7065,"Leg. - map amendment",1025,2012-05-30,"Planned Dev. filing fee","City of Chicago",13106,2012-08-28
364,2012-01-01,2012-06-30,7065,"admin- appraiser - special use permit hearing",2000,2012-05-18,appraiser,"Hugh Edfors, 1150 N Lake Shore Dr., Ste. 18K, Chicago, IL  60611",13100,2012-08-28
365,2012-01-01,2012-06-30,7065,"admin - filing fee",625,2012-03-22,"filing fee","City of Chicago",13100,2012-08-28
381,2012-01-01,2012-06-30,5974,"Application for Special Use -4320 N Cicero",525,2012-05-02,"Application fee","City of Chicago",12794,2012-08-28
382,2012-01-01,2012-06-30,5974,"Application fee for special use - 70 E Garfield",525,2012-01-31,"application fee","City of Chicago",12794,2012-08-28
383,2012-01-01,2012-06-30,5974,"Application fee- Special Use -n 10320 S Kedzie",525,2012-04-18,"application fee","City of Chicago",12794,2012-08-28
384,2012-01-01,2012-06-30,5974,"Application fee- Special Use - 6336 S Ashland Ave",525,2012-04-26,"application fee","City of Chicago",12794,2012-08-28
385,2012-01-01,2012-06-30,5974,"Application fee - Special Use - 5130 N Sheridan Rd",525,2012-06-28,"applicatoin fee","City of Chicago",12794,2012-08-28
430,2012-01-01,2012-06-30,5871,"Zoning changes, ZBA approval, plan commission approval, CTA sublease",89908,2012-01-12,"legal fees","SNR Denton 233 S. Wacker Dr  ste 7800  Chicago, IL  60606",12571,2012-08-29
431,2012-01-01,2012-06-30,5871,"CTA Plaza Design, mixed use building",16538,2012-07-01,"architectural services","Solomon Cordwell Buenz; Architects",12571,2012-08-29
432,2012-01-01,2012-06-30,5871,"traffic studies for Sheridan/ Broadway, Mixed use building, residence hall",56353,2012-07-01,"transportation studies",KLOA,12571,2012-08-29
433,2012-01-01,2012-06-30,5871,"CTA Plaze Engineering and Sheridan Rd street improvements",123360,2012-07-01,"civil engineering","Bennesh Engineering",12571,2012-08-29
434,2012-01-01,2012-06-30,5871,"coordination between CDOT, IDOT, FHWA, and Planning Dept for CTA Plaza",3406,2012-07-01,"construction management","Cotter Consulting",12571,2012-08-29
441,2012-01-01,2012-06-30,6074,non,400,2012-06-13,travel,"David J Mehigan",12984,2012-08-29
442,2012-01-01,2012-06-30,5992,"General relationship management meeting with specific focus on public finance and gaming opportunities with the City of Chicago",705,2012-02-17,"travel expenses","United Airlines",12826,2012-08-29
443,2012-01-01,2012-06-30,5992,"General relationship management meeting with specific focus on public finance and gaming opportunities with the City of Chicago",324,2012-02-17,"travel expenses","JW Marriott Chicago",12826,2012-08-29
461,2012-01-01,2012-06-30,8747,n/a,355,2012-02-02,"Search of Property Boundaries","Chicago Title and Deed Inc  910 W Van Buren St, Ste. 140  Chicago, IL  60607",12181,2012-08-30
462,2012-01-01,2012-06-30,7751,"admin - license",2079,2012-02-08,"parking license fee","City of Chicago",12747,2012-08-30
540,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",1057,2012-02-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
541,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-06-01,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
542,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",485,2012-05-07,lodging,"Affinia Hotel",12205,2012-09-04
543,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33750,2012-03-02,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
544,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",3500,2012-04-04,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
545,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-02-15,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
546,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",277,2012-02-22,Lodging,"Dana Hotel",12205,2012-09-04
547,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33500,2012-04-24,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
548,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33750,2012-06-05,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
549,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",253,2012-02-15,lodging,"Hotel Felix",12205,2012-09-04
550,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",283,2012-04-10,Lodging,"The Affinia Hotel",12205,2012-09-04
551,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",531,2012-04-17,airfare,"American Airlines",12205,2012-09-04
552,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33750,2012-04-04,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
553,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-05-08,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
554,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",371,2012-04-24,Lodging,"Holiday Inn",12205,2012-09-04
555,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1060,2012-04-10,Airfare,"American Airlines",12205,2012-09-04
556,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",459,2012-05-01,Airfare,"American Airlines",12205,2012-09-04
557,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",394,2012-05-07,airfare,"American Airlines",12205,2012-09-04
558,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1060,2012-03-13,Airfare,"American Airlines",12205,2012-09-04
559,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",283,2012-03-13,Lodging,"Holiday Inn",12205,2012-09-04
560,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1051,2012-02-22,airfare,"American Airlines",12205,2012-09-04
561,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-04-03,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
562,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2012-03-13,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
563,2012-01-01,2012-06-30,8788,"Matters of interest to Wal-Mart Stores, Inc",8000,2011-12-13,"Lobbying Retainer","Nicolay & Dart LLC  33 North Dearborn St., Ste. 2200  Chicago IL  60602  Government Affairs Firm",12205,2012-09-04
564,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1060,2012-02-29,Airfare,"American Airlines",12205,2012-09-04
565,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",428,2012-04-17,Lodging,"The Renaissance and the Affinia Hotel",12205,2012-09-04
566,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",3500,2012-06-01,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
567,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",324,2012-06-05,lodging,"Affinia Hotel",12205,2012-09-04
568,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",394,2012-05-15,Airfare,"American Airlines",12205,2012-09-04
569,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1076,2012-06-05,Airfare,"American Airlines",12205,2012-09-04
570,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1060,2012-03-03,Airfare,"American Airlines",12205,2012-09-04
571,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",3500,2012-05-08,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
572,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",10630,2012-03-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
573,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",1076,2012-04-24,airfare,"American Airlines",12205,2012-09-04
574,2012-01-01,2012-06-30,8788,gener,1051,2012-02-15,airfare,"American Airlines",12205,2012-09-04
575,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33750,2012-01-05,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
576,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",485,2012-05-15,Lodging,"Affinia Hotel",12205,2012-09-04
577,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",33750,2012-02-02,"Public Affairs / Grassroots retainer","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
578,2012-01-01,2012-06-30,8788,"General Education of Wal-Mart business in Chicago",555,2012-05-01,lodging,"Affinia hotel",12205,2012-09-04
579,2012-01-01,2012-06-30,8788,"Community and Aldermanic Outreach and education",5235,2012-02-02,"Reimbursed expenses for community outreach and education","Serafin and Associates, Inc 409 W Huron St., Ste. 600 Chicago, IL 60654 communications firm",12205,2012-09-04
